original_id,validator_id,prompt,sentence,choice_a,choice_b,pattern,based_on,original_key,original_explanation,validator_answer,validator_explanation,annotators_agree,notes,from_exp2
jbo_11,48,"Consider the English sentence ""I'm satisfied with how hot it is.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mansa fa mi lo nu ma kau ni glare
(B) mansa mi fa lo nu ma kai ni glare

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",I'm satisfied with how hot it is.,mansa fa mi lo nu ma kau ni glare,mansa mi fa lo nu ma kai ni glare,3,,B,"mansa means to satisfy, not to be satisfied. Thus, the subject marker ""fa"" belongs not on ""mi"", as in A, but on ""lo nu ma kau ni glare"", as in B.",B,"The place structure of ""mansa"" is ""x1 satisfies evaluator x2"".

In (A), ""mi"" (""I/me"") is in the first argument place, which is incorrect.",1,,0
jbo_12,114,"Consider the English sentence ""The tomato took a day to turn red.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) djedi li pa fa lo nu lo tamca co'a xunre
(B) djedi li pa fa lo nu lo tamca cu xunre carna

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The tomato took a day to turn red.,djedi li pa fa lo nu lo tamca co'a xunre,djedi li pa fa lo nu lo tamca cu xunre carna,1,,A,"carna means to rotate. State changes can be expressed with ""co'a"" for example.",A,[Agreed with presented explanation],1,,1
jbo_13,100,"Consider the English sentence ""A likely cause is that many of the workers left.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lakne rinka fa lo nu so'i lo gunka cu cliva
(B) lo nu rinka fa lo nu so'i lo gunka cu cliva cu lakne

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",A likely cause is that many of the workers left.,lakne rinka fa lo nu so'i lo gunka cu cliva,lo nu rinka fa lo nu so'i lo gunka cu cliva cu lakne,5,,B,"A modifier (seltau) in a compound predicate (tanru) cannot subordinate the modificand (tertau), so sentence A, where ""rinka"" is the tertau, is asserting that the workers leaving *is* the cause, not just that it may be. Sentence B correctly has ""lakne"" as the main predicate.",B,"The English sentence seems to imply that the workers leaving has already happened and is not merely a hypothetical event.

(A) says that the event of the workers leaving is a ""lakne rinka"" (""likely-cause""), but the last component in a tanru (two predicates in a row) determines the place structure. ""lakne rinka"" is a type of ""rinka"", so it still claims that ""x1 causes x2"", whether prefixed by ""lakne"" (""likely"") or not. The adjective ""likely"" functions as an alienans adjective here, which cannot be expressed as a seltau (left component of a tanru) in Lojban.

(B) Expands the ""likely"" out explicitly: ""The workers leaving being the cause is likely"".",1,,0
jbo_14,70,"Consider the English sentence ""We all sang together.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi'a kansi'u lo ka sanga
(B) ro mi'a kansi'u lo ka sanga

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",We all sang together.,mi'a kansi'u lo ka sanga,ro mi'a kansi'u lo ka sanga,5,,A,"As outer quantifiers, with few exceptions, have singular, distributive meaning, sentence B, with ""ro"", is nonsensical: ""For each person among us, this person sang with each other"". Sentence A, without ""ro"", allows for the collective reading required by the predicate. The emphasis that ""all"" gives in the English sentence could be translated by an inner quantifier, ""lo ro mi'a"", or by a plural outer quantifier, ""ru'oi mi'a"".",A,"The ""ro"" in (B) quantifies over every referent among ""mi'a"" (""us"") and says that each one sings together. Since ""singing together"" cannot be satisfied by single individuals, the sentence is wrong.",1,,0
jbo_15,83,"Consider the English sentence ""He needs two kilograms of flour.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ra nitcu tu'a re ki'ogra be lo grupu'o
(B) ra nitcu tu'a su'o grupu'o poi ki'ogra li re

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",He needs two kilograms of flour.,ra nitcu tu'a re ki'ogra be lo grupu'o,ra nitcu tu'a su'o grupu'o poi ki'ogra li re,1,,B,"ki'ogra means ""x_1 weighs x_2 kilograms"". While ""be"", which curries arguments into a predicate, can be translated as ""of"" in many instances, this doesn't work for units of measure: ""re ki'ogra be lo grupu'o"" in A translates to the nonsensical ""two things that weigh flour kilograms"". Sentence B has the correct meaning: ""some flour that weighs two kilograms"".",B,"""su'o grupu'o poi ki'ogra li re"" means ""some flour that measures 2 in kilograms"", which is the correct way to phrase such things in Lojban.

What (A) attempts with ""re ki'ogra"" means ""two things that each measure some kg"" (and then puts ""lo grupu'o"" (""flour"") in the second argument place that normally expects a number (see (B)). ",1,,0
jbo_16,62,"Consider the English sentence ""They punished but then forgave you for stealing the books.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ra do sfasa gi'e ba bo fraxu ku'i vau lo ka zerle'a lo cukta
(B) ra do sfasa gi'e ba bo fraxu ku'i lo ka zerle'a lo cukta

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",They punished but then forgave you for stealing the books.,ra do sfasa gi'e ba bo fraxu ku'i vau lo ka zerle'a lo cukta,ra do sfasa gi'e ba bo fraxu ku'i lo ka zerle'a lo cukta,4,,A,"Connectives of the ""gi'V"" series result in three verb phrases (a.k.a. bridi tails): one each for the two connected predicates, and an outer one whose arguments apply to both predicates. In B, ""lo ka zerle'a lo cukta"" is an argument of ""fraxu"" but not of ""sfasa"", which is not wrong per se, as it leaves the argument of ""fraxu"" to context. In A, the ""vau"" closes the inner verb phrase, such that ""lo ka zerle'a lo cukta"" falls into the outer one and applies to both verbs, which better reflects the intended meaning.",A,"In order for ""lo ka zerle'a lo cukta"" (""stealing the books"") to be a shared argument of both bridi-tails, the terminator ""vau"" has to be inserted before it.",1,,0
jbo_17,64,"Consider the English sentence ""It's Sunday, so the stores are closed and we have to be quiet.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) zeldei .i ja'e bo lo zarci na .akti .i je ma'a lo ka smaji cu bilga
(B) zeldei .i ja'e bo tu'e lo zarci na .akti .i je ma'a lo ka smaji cu bilga

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","It's Sunday, so the stores are closed and we have to be quiet.",zeldei .i ja'e bo lo zarci na .akti .i je ma'a lo ka smaji cu bilga,zeldei .i ja'e bo tu'e lo zarci na .akti .i je ma'a lo ka smaji cu bilga,4,,B,"Connectives with ""bo"" are tight-grouping, so in A, only the first two sentences are connected by ""ja'e"", and that pair of sentences is then connected to the third by ""je"". In B, instead of ""bo"", ""tu'e"" is used, which opens a group of sentences that lasts until a corresponding ""tu'u"". In this way, both the second and third sentences are said to be results of the first, which is more in line with the English sentence.",B,"The grouping in (A) is incorrect, since "".i ja'e bo"" groups more tightly than "".i je"".",1,"One answer had been missing a word, this has now been fixed and annotators now agree that B is the correct answer. original_explanation is not completely correct as to the reason, validator_explanation is.",0
jbo_18,85,"Consider the English sentence ""I've been to Russia but not to China.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi lo ruskygu'e .e nai lo jungygu'e pu'i klama
(B) mi lo ruskygu'e na .e lo jungygu'e pu'i klama

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",I've been to Russia but not to China.,mi lo ruskygu'e .e nai lo jungygu'e pu'i klama,mi lo ruskygu'e na .e lo jungygu'e pu'i klama,7,,A,"When using afterthought connectives such as "".e"", ""na"" before the connective negates the first branch while ""nai"" after the connective negates the second branch. As such, B means the opposite of the English, while A is correct.",A,""".e nai"" means ""and not"" (negating the right conjunct), while ""na .e"" means ""not, and"" (negating the left conjunct).

The English sentence negates China, the second conjunct, therefore (A) is correct, and (B) means ""I've not been to Russia but to China.""",1,,0
jbo_19,32,"Consider the English sentence ""The problem is with the rope and not the wheel.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) nabmi fa tu'a lo skori .e nai lo xislu
(B) nabmi fa ge tu'a lo skori gi nai tu'a lo xislu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The problem is with the rope and not the wheel.,nabmi fa tu'a lo skori .e nai lo xislu,nabmi fa ge tu'a lo skori gi nai tu'a lo xislu,5,,B,"A ""tu'a"" phrase refers to an abstraction (such as an event), and connectives and quantifiers within the phrase are interpreted as if they were in a subsentence describing that event. Thus, sentence A does not compare two events that might or might not be problems, but rather declares one thing as a problem, namely that the rope and not the wheel is doing something clear from context. On the other hand, sentence B connects two separate ""tu'a"" phrases, which results in a meaning faithful to the English sentence.",B,"(A) says that ""[something involving [the rope and not the wheel]] is a problem"", which has the wrong scope.

Both ""lo skori"" (""the rope"") and ""lo xislu"" (""the wheel"") need to be under their own ""tu'a"": ""[something involving the rope] is a problem but [something involving the wheel] is not a problem"".

Only (B) does this.",1,,0
jbo_20,21,"Consider the English sentence ""I've forgotten something important.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi su'o vajni ba'o morji
(B) mi ba'o morji su'o vajni

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",I've forgotten something important.,mi su'o vajni ba'o morji,mi ba'o morji su'o vajni,6,,A,"Quantifiers and similar operators in a sentence interact with each other, with operators on the left scoping over operators to the right of them. With the aspect marker ""ba'o"" before the quantifier ""su'o"", sentence B translates as ""I no longer remember anything important"". Sentence A, meaning ""There is something important that I no longer remember"", matches the English.",A,"This is a question of the relative scope of the quantifier ""su'o"" (""some"") and the aspect ""ba'o"", which I will translate as ""no longer"" to make the difference between (A) and (B) easier to understand.

(A) places ""su'o vajni"" (""something important"") before the aspect (""no longer"") to yield ""There is something important such that I no longer remember it"".

(B) reverses the order, yielding ""It is no longer the case that I remember something (anything) important"".

Therefore, (B) fails to capture the intended meaning.",1,,0
jbo_21,33,"Consider the English sentence ""Please water the largest elm and the oak.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) .e'o do dunda lo'e djacu lo bardyrai be lo .ulmu ku .e lo cindu
(B) .e'o do dunda lo'e djacu lo bardyrai be lo .ulmu be'o .e lo cindu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Please water the largest elm and the oak.,.e'o do dunda lo'e djacu lo bardyrai be lo .ulmu ku .e lo cindu,.e'o do dunda lo'e djacu lo bardyrai be lo .ulmu be'o .e lo cindu,4,,B,"In A, the argument phrases connected by "".e"" are ""lo .ulmu ku"" and ""lo cindu"", inside the ""be"" phrase of the predicate ""bardyrai"". Thus, ""lo bardyrai be lo .ulmu ku .e lo cindu"" has the nonsensical meaning of ""that which is (simultaneously) the largest elm and the largest oak"". In B, ""be'o"" terminates the ""be"" phrase, so "".e"" connects ""lo bardyrai be lo .ulmu be'o"" and ""lo cindu"", giving the meaning ""the largest elm, as well as the oak"", as intended.",B,"""lo bardyrai be lo .ulmu ku .e lo cindu"" (A) means ""the biggest of [the elms and the oaks]"", but the intended meaning is ""[the biggest of the elms] and [the oaks].

To get this grouping, the terminator ""be'o"" is necessary, as in (B).",1,,0
jbo_22,72,"Consider the English sentence ""I am convinced of only one thing, namely that I love you.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi birti pa da noi du'u mi do prami
(B) mi birti pa da poi du'u mi do prami

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","I am convinced of only one thing, namely that I love you.",mi birti pa da noi du'u mi do prami,mi birti pa da poi du'u mi do prami,7,,A,"Though ""poi"" is said to introduce restrictive relative clauses, and ""noi"" incidental ones, these terms can be counterintuitive when describing how relative clauses interact with quantifiers. Here, ""poi"" has the effect of adding a conjunction in the scope of the quantifier ""pa"": ""there is one thing that: [I am convinced of it, and it is the proposition 'I love you']"". ""noi"", on the other hand, can be thought of as putting a conjunction on the entire sentence: ""there is one thing that I am convinced of, and everything that I am convinced of is the proposition 'I love you'"". Sentence A, not B, is faithful to the English.",A,"In standard singular logic Lojban, ""mi birti pa da"" means ""I am certain of exactly one thing"". When followed by a restrictive relative clause (""poi""), e.g. ""pa da poi du'u mi do prami"", it becomes ""I am certain of exactly one thing that is the fact that I love you"". This allows for other things the speaker is certain of.
On the other hand, when ""pa da"" is followed by a non-restrictive relative clause (""noi""), e.g. ""pa da noi du'u mi do prami"", the meaning changes to ""I am certain of exactly one thing (and what I'm certain of is the fact that I love you."" ",1,,0
jbo_23,102,"Consider the English sentence ""The tourist intended to go west but instead went north.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo stuvi'e cu .aidji lo ka klama lo stici vau gi'e se ba'i klama lo berti vau ku'i
(B) lo stuvi'e cu .aidji lo ka klama lo stici kei gi'e se ba'i klama lo berti vau ku'i

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The tourist intended to go west but instead went north.,lo stuvi'e cu .aidji lo ka klama lo stici vau gi'e se ba'i klama lo berti vau ku'i,lo stuvi'e cu .aidji lo ka klama lo stici kei gi'e se ba'i klama lo berti vau ku'i,4,,B,"In A, the verb phrases connected by ""gi'e"" are within the subsentence started by ""ka"". This is because the first ""vau"" terminates only the first verb phrase of the subsentence, not the subsentence itself. The result is a nonsensical meaning: ""The tourist wanted to do the following: go west, but instead go north"". In B, the ""gi'e"" is on the top level, instead of within the subsentence, since the subsentence is closed by ""kei"" beforehand, which gives the intended meaning.",B,"In order for ""gi'e"" (""and"") to attach to "".aidji"" (""intends""), the subclause started by ""lo ka"" has to be closed.

The terminator ""vau"" is not sufficient here.

Instead, the terminator ""kei"", which is the terminator of ""ka"", is what's needed here.",1,,0
jbo_24,46,"Consider the English sentence ""You should put the empty bottle in the bin and the full bottle on the table.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) .ei do punji ge lo kunti botpi lo fesybaktu gi lo culno botpi lo jubme
(B) .ei do punji lo kunti botpi fi lo fesybaktu .e lo culno botpi fi lo jubme

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",You should put the empty bottle in the bin and the full bottle on the table.,.ei do punji ge lo kunti botpi lo fesybaktu gi lo culno botpi lo jubme,.ei do punji lo kunti botpi fi lo fesybaktu .e lo culno botpi fi lo jubme,7,,A,"The connective "".e"" in B applies only to the two argument phrases, ""lo fesybaktu"" and ""lo culno botpi"", and the resulting phrase is marked with ""fi"" as filling the third place of ""punji"". This does not match the structure or meaning of the English sentence. In B, the connective ""ge ... gi ..."" is used to properly connect the two pairs of terms as in the English.",A,"(A) uses a so-called ""gek termset"" ([ge ...] [gi ...]). This pattern has no afterthought equivalent. Yet (B) tries to achieve this using the afterthought connective "".e"", but this word can only connect sumti (arguments), so it doesn't work.",1,,0
jbo_25,43,"Consider the English sentence ""I didn't go outside, the reason being that it was raining.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi na klama lo bartu ki'u lo nu carvi
(B) mi na klama lo bartu .i ki'u bo carvi

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","I didn't go outside, the reason being that it was raining.",mi na klama lo bartu ki'u lo nu carvi,mi na klama lo bartu .i ki'u bo carvi,6,,B,"In A, the negator ""na"" scopes over the adverbial after it, ""ki'u lo nu carvi"", resulting in an incorrect meaning: ""It is not because it was raining that I went outside"". In B, ""ki'u"" is used as a sentence connective, which takes it out of the scope of ""na"", resulting in the intended meaning.",B,"The negation in (A) has scope over the preposition ""ki'u"" (""because""), yielding ""It is not the case that: it raining is the reason for my going outside"", which is completely wrong.

By using "".i ki'u bo"" as in (B), the ""because"" retains its scope over the entire sentence including the negation.",1,,0
jbo_26,115,"Consider the English sentence ""The Hajj happens once a year in Mecca.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) la .xadj. cu fasnu pa roi ro nanca bu'u la .makax.
(B) la .xadj. cu fasnu pa roi ro nanca ne'i la .makax.

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The Hajj happens once a year in Mecca.,la .xadj. cu fasnu pa roi ro nanca bu'u la .makax.,la .xadj. cu fasnu pa roi ro nanca ne'i la .makax.,1,,A,"The preposition ""ne'i"" is used specifically for things inside an enclosed space. Geographical location is expressed using the more general ""bu'u"", as in A.",A,[Agreed with presented explanation],1,,1
jbo_27,8,"Consider the English sentence ""The lake is full of people. I was swimming there yesterday.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo lalxu ca culno lo'e remna .i mi ri limna ca lo prulamdei
(B) lo lalxu ca culno lo'e remna .i mi ru limna ca lo prulamdei

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The lake is full of people. I was swimming there yesterday.,lo lalxu ca culno lo'e remna .i mi ri limna ca lo prulamdei,lo lalxu ca culno lo'e remna .i mi ru limna ca lo prulamdei,7,,B,"The pronoun ""ri"" refers to the last-started completed argument (skipping over certain pronouns if present). In A, ""ri"" refers not to the intended ""lo lalxu"", but to ""lo'e remna"". ""ru"", used in B, refers to an earlier argument (one that couldn't be pointed to by ""ri""), resulting in the intended meaning.",B,"The pronoun ""ri"" refers to the most recently uttered argument phrase. In (A), the antecedent is ""lo'e remna"" (""people""), so the second half of (A) means ""I was swimming in people yesterday"".

(B) uses the pronoun ""ru"" instead, which refers to a recent argument phrase (it's left vague which one, but it's not the most recent one), allowing the latter half of (B) to mean ""I was swimming in it (= the lake) yesterday"".",1,,0
jbo_28,76,"Consider the English sentence ""Try to cut the melon.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ko troci co katna lo guzme
(B) ko katna troci lo guzme

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Try to cut the melon.,ko troci co katna lo guzme,ko katna troci lo guzme,7,,A,"Though the predicates ""katna troci"" and ""troci co katna"" mean the same per se, using ""co"" changes not only the order of modifier and modificand, but also the behaviour of arguments in the verb phrase. Without ""co"", they are understood as arguments of the modificand, ""troci"", while with it, they are arguments of the modifier, ""katna"". So, without ""co"", A could be rewritten as ""ko katna be lo guzme be'o troci"". The second argument of ""troci"" is always an action, not a concrete object, so B is nonsensical, while A is a vague but idiomatic translation of the English.",A,"""The final component in a tanru (multiple predicates in a row) determines the place structure.

""katna troci"" (""cut-try"") has the place structure of ""troci"": x1 tries to do x2
Therefore, it is incorrect to follow it with ""lo guzme"" (""the melon""), because that puts it in the second argument place of ""troci"".

(A) uses ""co"" to reverse the order of the tanru, which allows ""lo guzme"" to end up in the correct argument place.",1,,0
jbo_29,61,"Consider the English sentence ""Do you enjoy riding a bike?""
Which of the following is a better translation of this sentence into standard Lojban?

(A) xu lo ka sazri lo'e relxima ku do pluka
(B) xu lo ka sazri lo'e relxima kei do pluka

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Do you enjoy riding a bike?,xu lo ka sazri lo'e relxima ku do pluka,xu lo ka sazri lo'e relxima kei do pluka,4,,B,"In A, ""ku"" closes only the argument phrase, ""lo'e relxima ku"", not the abstraction started by ""ka"". This results in ""do"" being interpreted as the third argument of ""sazri"", and ""pluka"" as the modificand of the predicate formed by the abstraction. The sentence is then left without a main predicate. A could be translated as: ""Is it the enjoyable thing related to riding a bike for the purpose of you?"". In B, the abstraction is closed properly, so that both ""do"" and ""pluka"" fall into the outermost sentence, giving the intended meaning.",B,"The intended structure is ""Is [to operate a bike] [to you] [pleasant]?""

To close the subordinate clause ""to operate a bike"", the terminator ""kei"" must be used. ""ku"" alone only terminates the determiner phrase ""lo'e relxima"" (""bikes"").",1,,0
