bacru	x_{1} utters verbally/says/phonates/speaks [vocally makes sound] x_{2}.	- utter
batke	x_{1} is a button/knob/[handle] on/for item x_{2}, with purpose x_{3}, made of material x_{4}.	- button; knob, handle
bavmi	x_{1} is a quantity of barley [grain] of species/strain x_{2}.	- barley
baxso	x_{1} reflects Malay-Indonesian common language/culture in aspect x_{2}.	- Malay-Indonesian
bebna	x_{1} is foolish/silly in event/action/property [folly] (ka) x_{2}; x_{1} is a boob.	- foolish
bemro	x_{1} reflects North American culture/nationality/geography in aspect x_{2}.	- North American
bende	x_{1} is a crew/team/gang/squad/band of persons x_{2} directed/led by x_{3} organized for purpose x_{4}.	- crew<br>- band; team<br>- club; association<br>- team; crew<br>- association; organization
bengo	x_{1} reflects Bengali/Bangladesh culture/nationality/language in aspect x_{2}.	- Bengali
benji	x_{1} transfers/sends/transmits x_{2} to receiver x_{3} from transmitter/origin x_{4} via means/medium x_{5}.	- send<br>- transmit<br>- transfer
bersa	x_{1} is a son of mother/father/parents x_{2} [not necessarily biological].	- son
berti	x_{1} is to the north/northern side [right-hand-rule pole] of x_{2} according to frame of reference x_{3}.	- north
besna	x_{1} is a/the brain [body-part] of x_{2}; [metaphor: intelligence, mental control].	- brain
betfu	x_{1} is a/the abdomen/belly/lower trunk [body-part] of x_{2}; [metaphor: midsection].	- abdomen
betri	x_{1} is a tragedy/disaster/tragic for x_{2}.	- tragedy
bevri	x_{1} carries/hauls/bears/transports cargo x_{2} to x_{3} from x_{4} over path x_{5}; x_{1} is a carrier/[porter].	- carry; transport
bidju	x_{1} is a bead/pebble [shape/form] of material x_{2}.	- bead
bifce	x_{1} is a bee/wasp/hornet of species/breed x_{2}.	- bee
bikla	x_{1} whips/lashes/snaps [a sudden violent motion].	- whip; violent sudden motion
bilga	x_{1} is bound/obliged to/has the duty to do/be x_{2} in/by standard/agreement x_{3}; x_{1} must do x_{2}.	- obliged<br>- must; obligation
bilma	x_{1} is ill/sick/diseased with symptoms x_{2} from disease x_{3}.	- ill
bilni	x_{1} is military/regimented/is strongly organized/prepared by system x_{2} for purpose x_{3}.	- military
bindo	x_{1} reflects Indonesian culture/nationality/language in aspect x_{2}.	- Indonesian
binra	x_{1} insures/indemnifies x_{2} (person) against peril x_{3} (event) providing benefit(s) x_{4} (event).	- insure
binxo	x_{1} becomes/changes/converts/transforms into x_{2} under conditions x_{3}.	- become
birje	x_{1} is made of/contains/is a amount of beer/ale/brew brewed from x_{2}.	- beer
birka	x_{1} is a/the arm [body-part] of x_{2}; [metaphor: branch with strength].	- arm; shoulder appendage
birti	x_{1} is certain/sure/positive/convinced that x_{2} is true.	- certain
bisli	x_{1} is a quantity of/is made of/contains ice [frozen crystal] of composition/material x_{2}.	- ice
bitmu	x_{1} is a wall/fence separating x_{2} and x_{3} (unordered) of/in structure x_{4}.	- wall
blabi	x_{1} is white/very-light colored [color adjective].	- white
blaci	x_{1} is a quantity of/is made of/contains glass of composition including x_{2}.	- glass
blanu	x_{1} is blue [color adjective].	- blue
bliku	x_{1} is a block [3-dimensional shape/form] of material x_{2}, surfaces/sides x_{3}.	- block
bloti	x_{1} is a boat/ship/vessel [vehicle] for carrying x_{2}, propelled by x_{3}.	- boat
bolci	x_{1} is a ball/sphere/orb/globe [shape/form] of material x_{2}; x_{1} is a spherical object [made of x_{2}].	- ball
bongu	x_{1} is a/the bone/ivory [body-part], performing function x_{2} in body of x_{3}; [metaphor: calcium].	- bone
botpi	x_{1} is a bottle/jar/urn/flask/closable container for x_{2}, made of material x_{3} with lid x_{4}.	- bottle
boxfo	x_{1} is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x_{2}.	- sheet
boxna	x_{1} is a wave [periodic pattern] in medium x_{2}, wave-form x_{3}, wave-length x_{4}, frequency x_{5}.	- wave
bradi	x_{1} is an enemy/opponent/adversary/foe of x_{2} in struggle x_{3}.	- enemy
bratu	x_{1} is hail/sleet/freezing rain/solid precipitation of material/composition including x_{2}.	- hail
brazo	x_{1} reflects Brazilian culture/nationality/language in aspect x_{2}.	- Brazilian
bredi	x_{1} is ready/prepared for x_{2} (event).	- ready; prepared
bridi	x_{1} (du'u) is a predicate relationship with relation x_{2} among arguments (sequence/set) x_{3}.	- predicate
brife	x_{1} is a breeze/wind/gale from direction x_{2} with speed x_{3}; x_{1} blows from x_{2}.	- breeze<br>- wind; breeze
briju	x_{1} is an office/bureau/work-place of worker x_{2} at location x_{3}.	- office
brito	x_{1} reflects British/United Kingdom culture/nationality in aspect x_{2}.	- British
broda	1st assignable variable predicate (context determines place structure).	- predicate var 1
brode	2nd assignable variable predicate (context determines place structure).	- predicate var 2
brodi	3rd assignable variable predicate (context determines place structure).	- predicate var 3
brodo	4th assignable variable predicate (context determines place structure).	- predicate var 4
brodu	5th assignable variable predicate (context determines place structure).	- predicate var 5
bruna	x_{1} is brother of/fraternal to x_{2} by bond/tie/standard/parent(s) x_{3}; [not necess. biological].	- brother
budjo	x_{1} pertains to the Buddhist culture/religion/ethos in aspect x_{2}.	- Buddhist
bukpu	x_{1} is an amount of cloth/fabric of type/material x_{2}.	- cloth
bumru	x_{1} is foggy/misty/covered by a fog/mist/vapor of liquid x_{2}.	- fog
bunda	x_{1} is x_{2} (def. 1) local weight unit(s) [non-metric], standard x_{3}, subunits [e.g. ounces] x_{4}.	- pound
bunre	x_{1} is brown/tan [color adjective].	- brown
burcu	x_{1} is a brush for purpose x_{2} (event) with bristles x_{3}.	- brush; tool using bristles
burna	x_{1} is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions x_{2} (abstraction).	- embarrassed
cabna	x_{1} is current at/in the present of/during/concurrent/simultaneous with x_{2} in time.	- current; present<br>- concurrent; simultaneous<br>- simultaneous<br>- now<br>- present; pertaining to the current time
cabra	x_{1} is apparatus/mechanism/device/equipment for function x_{2} controlled/[triggered] by x_{3} (agent).	- apparatus
cacra	x_{1} is x_{2} hours in duration (default is 1 hour) by standard x_{3}.	- hour
cadzu	x_{1} walks/strides/paces on surface x_{2} using limbs x_{3}.	- walk
cafne	x_{1} (event) often/frequently/commonly/customarily occurs/recurs by standard x_{2}.	- frequent; occurring often<br>- often
cakla	x_{1} is made of/contains/is a quantity of chocolate/cocoa.	- chocolate
calku	x_{1} is a shell/husk [hard, protective covering] around x_{2} composed of x_{3}.	- shell
canci	x_{1} vanishes/disappears from location x_{2}; x_{1} ceases to be observed at x_{2} using senses/sensor x_{3}.	- vanish
cando	x_{1} is idle/at rest/inactive.	- idle
cange	x_{1} is a farm/ranch at x_{2}, farmed by x_{3}, raising/producing x_{4}; (adjective:) x_{1} is agrarian.	- farm
canja	x_{1} exchanges/trades/barters commodity x_{2} for x_{3} with x_{4}; x_{1}, x_{4} is a trader/merchant/businessman.	- trade; give in exchange for<br>- exchange
canko	x_{1} is a window/portal/opening [portal] in wall/building/structure x_{2}.	- window
canlu	x_{1} is space/volume/region/room [at-least-3-dimensional area] occupied by x_{2}.	- space
canpa	x_{1} is a shovel/spade [bladed digging implement] for digging x_{2}.	- shovel
canre	x_{1} is a quantity of/contains/is made of sand/grit from source x_{2} of composition including x_{3}.	- sand
canti	x_{1} is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of x_{2}.	- gut<br>- intestines
carce	x_{1} is a cart/carriage/wagon [wheeled vehicle] for carrying x_{2}, propelled by x_{3}.	- cart
carmi	x_{1} is intense/bright/saturated/brilliant in property (ka) x_{2} as received/measured by observer x_{3}.	- intense
carna	x_1 turns about vector x_2 towards direction x_3, turning angular distance / to face point x_4	- turn; movement
cartu	x_{1} is a chart/diagram/map of/about x_{2} showing formation/data-points x_{3}.	- chart
carvi	x_{1} rains/showers/[precipitates] to x_{2} from x_{3}; x_{1} is precipitation [not limited to 'rain'].	- rain
casnu	x_{1}(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject x_{2}.	- converse; talk about<br>- discuss
catke	x_{1} [agent] shoves/pushes x_{2} at locus x_{3}.	- push; shove<br>- shove
catlu	x_{1} looks at/examines/views/inspects/regards/watches/gazes at x_{2}.	- look
catni	x_{1} has authority/is an official in/on/over matter/sphere/persons x_{2} derived on basis x_{3}.	- authority
catra	x_{1} (agent) kills/slaughters/murders x_{2} by action/method x_{3}.	- kill; agentive<br>- murder; kill
caxno	x_{1} is shallow in extent in direction/property x_{2} away from reference point x_{3} by standard x_{4}.	- shallow
cecla	x_{1} launches/fires/shoots projectile/missile x_{2}, propelled by x_{3} [propellant/propulsion].	- launcher
cecmu	x_{1} is a community/colony of organisms x_{2}.	- community
cedra	x_{1} is an era/epoch/age characterized by x_{2} (event/property/interval/idea).	- era
cenba	x_{1} varies/changes in property/quantity x_{2} (ka/ni) in amount/degree x_{3} under conditions x_{4}.	- vary
censa	x_{1} is holy/sacred to person/people/culture/religion/cult/group x_{2}.	- holy
centi	x_{1} is a hundredth [1/100; 10^{-2}] of x_{2} in dimension/aspect x_{3} (default is units).	- .01
cerda	x_{1} is an heir to/is to inherit x_{2} (object/quality) from x_{3} according to rule x_{4}.	- heir
cerni	x_{1} is a morning [dawn until after typical start-of-work for locale] of day x_{2} at location x_{3}.	- morning
certu	x_{1} is an expert/pro/has prowess in/is skilled at x_{2} (event/activity) by standard x_{3}.	- pro; expert<br>- expert<br>- skilled<br>- competent
cevni	x_{1} is a/the god/deity of people(s)/religion x_{2} with dominion over x_{3} [sphere]; x_{1} is divine.	- god
cfari	x_{1} [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb).	- happen; occur<br>- initiate; non-agentive
cfika	x_{1} is a work of fiction about plot/theme/subject x_{2}/under convention x_{2} by author x_{3}.	- fiction
cfila	x_{1} (property - ka) is a flaw/fault/defect in x_{2} causing x_{3}.	- flaw
cfine	x_{1} is a wedge [shape/form/tool] of material x_{2}.	- wedge; shape or tool
cfipu	x_{1} (event/state) confuses/baffles x_{2} [observer] due to [confusing] property x_{3} (ka).	- confusing
ciblu	x_{1} is blood/vital fluid of organism x_{2}.	- blood
cicna	x_{1} is cyan/turquoise/greenish-blue [color adjective].	- cyan
cidja	x_{1} is food/feed/nutriment for x_{2}; x_{1} is edible/gives nutrition to x_{2}.	- food<br>- nutriment
cidni	x_{1} is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x_{2} of body x_{3}.	- knee
cidro	x_{1} is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable].	- hydrogen
cifnu	x_{1} is an infant/baby [helpless through youth/incomplete development] of species x_{2}.	- baby; infant<br>- infant
cigla	x_{1} is a/the gland [body-part] secreting x_{2}, of body x_{3}; x_{2} is a secretion of x_{1}.	- gland
cikna	(adjective:) x_{1} is awake/alert/conscious.	- awake
cikre	x_{1} repairs/mends/fixes x_{2} for use x_{3}.	- repair
ciksi	x_{1} (person) explains x_{2} (event/state/property) to x_{3} with explanation x_{4} (du'u).	- explain
cilce	(adjective:) x_{1} is wild/untamed.	- wild
cilmo	x_{1} is moist/wet/damp with liquid x_{2}.	- wet<br>- moist
cilre	x_{1} learns x_{2} (du'u) about subject x_{3} from source x_{4} (obj./event) by method x_{5} (event/process).	- learn
cilta	x_{1} is a thread/filament/wire [shape/form] of material x_{2}.	- thread
cimde	x_{1} (property - ka) is a dimension of space/object x_{2} according to rules/model x_{3}.	- dimension
cimni	x_{1} is infinite/unending/eternal in property/dimension x_{2}, to degree x_{3} (quantity)/of type x_{3}.	- infinite
cinba	x_{1} (agent) kisses/busses x_{2} at locus x_{3}.	- kiss
cindu	x_{1} is an oak, a type of tree of species/strain x_{2}.	- oak
cinfo	x_{1} is a lion/[lioness] of species/breed x_{2}.	- lion
cinje	x_{1} is a wrinkle/crease/fold [shape/form] in x_{2}.	- wrinkle
cinki	x_{1} is an insect/arthropod of species x_{2}; [bug/beetle].	- insect
cinla	x_{1} is thin in direction/dimension x_{2} by standard x_{3}; [relatively short in smallest dimension].	- thin
cinmo	x_{1} feels emotion x_{2} (ka) about x_{3}.	- feel; experience an emotion<br>- emotion; experienced
cinri	x_{1} (abstraction) interests/is interesting to x_{2}; x_{2} is interested in x_{1}.	- interesting
cinse	x_{1} in activity/state x_{2} exhibits sexuality/gender/sexual orientation x_{3} (ka) by standard x_{4}.	- sexual
cinta	x_{1} [material] is a paint of pigment/active substance x_{2}, in a base of x_{3}.	- paint; substance composed of solid coloring matter suspended in a liquid medium
cinza	x_{1} is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x_{2} to pinch x_{3}.	- tweezers<br>- pliers<br>- tongs
cipni	x_{1} is a bird/avian/fowl of species x_{2}.	- bird
cipra	x_{1} (process/event) is a test for/proof of property/state x_{2} in subject x_{3} (individ./set/mass).	- test
cirko	x_{1} loses person/thing x_{2} at/near x_{3}; x_{1} loses property/feature x_{2} in conditions/situation x_{3}.	- lose
cirla	x_{1} is a quantity of/contains cheese/curd from source x_{2}.	- cheese
ciska	x_{1} inscribes/writes x_{2} on display/storage medium x_{3} with writing implement x_{4}; x_{1} is a scribe.	- write
cisma	x_{1} smiles/grins (facial expression).	- smile; expressing happiness through a facial expression
ciste	x_{1} (mass) is a system interrelated by structure x_{2} among components x_{3} (set) displaying x_{4} (ka).	- system
citka	x_{1} eats/ingests/consumes (transitive verb) x_{2}.	- eat
citno	x_{1} is young/youthful [relatively short in elapsed duration] by standard x_{2}.	- young
citri	x_{1} is a history of x_{2} according to x_{3} (person)/from point-of-view x_{3}.	- history
citsi	x_{1} is a season/is seasonal [cyclical interval], defined by interval/property x_{2}, of year(s) x_{3}.	- season
civla	x_{1} is a louse/flea [blood-sucking arthropod] of species/breed x_{2}, parasitic on x_{3}.	- louse
cizra	x_{1} is strange/weird/deviant/bizarre/odd to x_{2} in property x_{3} (ka).	- strange
ckabu	x_{1} is a quantity of/contains/is made of rubber/latex from source x_{2} of composition including x_{3}.	- rubber
ckafi	x_{1} is made of/contains/is a quantity of coffee from source/bean/grain x_{2}.	- coffee
ckaji	x_{1} has/is characterized by property/feature/trait/aspect/dimension x_{2} (ka); x_{2} is manifest in x_{1}.	- feature; trait<br>- trait<br>- has quality<br>- attribute; trait<br>- property; trait<br>- characteristic<br>- quality; trait
ckana	x_{1} is a bed/pallet of material x_{2} for holding/supporting x_{3} (person/object/event).	- bed
ckape	x_{1} is perilous/dangerous/potentially harmful to x_{2} under conditions x_{3}.	- peril
ckasu	x_{1} ridicules/mocks/scoffs at x_{2} about x_{3} (property/event) by doing activity x_{4} (event).	- ridicule
ckeji	x_{1} feels ashamed/mortified/humiliated under conditions x_{2} before community/audience x_{3}.	- ashamed
ckiku	x_{1} is a key fitting/releasing/opening/unlocking lock x_{2}, and having relevant properties x_{3}.	- key
ckilu	x_{1} (si'o) is a scale of units for measuring/observing/determining x_{2} (state).	- scale
ckini	x_{1} is related to/associated with/akin to x_{2} by relationship x_{3}.	- related
ckire	x_{1} is grateful/thankful to/appreciative of x_{2} for x_{3} (event/property).	- grateful
ckule	x_{1} is school/institute/academy at x_{2} teaching subject(s) x_{3} to audien./commun. x_{4} operated by x_{5}.	- school
ckunu	x_{1} is a conifer/pine/fir of species/strain x_{2} with cones x_{3}.	- conifer
cladu	x_{1} is loud/noisy at observation point x_{2} by standard x_{3}.	- loud
clani	x_{1} is long in dimension/direction x_{2} (default longest dimension) by measurement standard x_{3}.	- long
claxu	x_{1} is without/lacking/free of/lacks x_{2}; x_{1} is x_{2}-less.	- without<br>- lack
clika	x_{1} is a moss/lichen of species/strain x_{2} growing on x_{3}; (adjective:) x_{1} is mossy.	- mossy
clira	x_{1} (event) is early by standard x_{2}.	- early
clite	x_{1} is polite/courteous/civil in matter x_{2} according to standard/custom x_{3}.	- polite
cliva	x_{1} leaves/goes away/departs/parts/separates from x_{2} via route x_{3}.	- leave
clupa	x_{1} is a loop/circuit of x_{2} [material].	- loop
cmaci	x_{1} is a mathematics of type/describing x_{2}.	- mathematics
cmalu	x_{1} is small in property/dimension(s) x_{2} (ka) as compared with standard/norm x_{3}.	- small
cmana	x_{1} is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass x_{2}.	- mountain
cmavo	x_{1} is a structure word of grammatical class x_{2}, with meaning/function x_{3} in usage (language) x_{4}.	- structure word
cmene	x_{1} (quoted word(s)) is a/the name/title/tag of x_{2} to/used-by namer/name-user x_{3} (person).	- title; name<br>- name; reference word
cmila	x_{1} laughs (emotional expression).	- laugh
cmima	x_{1} is a member/element of set x_{2}; x_{1} belongs to group x_{2}; x_{1} is amid/among/amongst group x_{2}.	- belong to; be a member of<br>- member
cmoni	x_{1} utters moan/groan/howl/scream [non-linguistic utterance] x_{2} expressing x_{3} (property).	- moan
cnano	x_{1} [value] is a norm/average in property/amount x_{2} (ka/ni) among x_{3}(s) (set) by standard x_{4}.	- average; norm<br>- norm; average
cnebo	x_{1} is a/the neck [body-part] of x_{2}; [metaphor: a relatively narrow point].	- neck
cnemu	x_{1} (agent) rewards x_{2} [recipient] for atypical x_{3} (event/property) with reward/desserts x_{4}.	- reward
cnici	x_{1} is orderly/neat/ordered in property/quantity x_{2} (ka/ni).	- orderly
cnino	x_{1} is new/unfamiliar/novel to observer x_{2} in feature x_{3} (ka) by standard x_{4}; x_{1} is a novelty.	- new
cnisa	x_{1} is a quantity of/contains/is made of lead (Pb); [metaphor: heavy, malleable, soft metal].	- lead
cnita	x_{1} is directly/vertically beneath/below/under/underneath/down from x_{2} in frame of reference x_{3}.	- below<br>- beneath<br>- under; beneath
cokcu	x_{1} soaks up/absorbs/sucks up x_{2} from x_{3} into x_{4}; x_{1} is an absorbant.	- soak up
condi	x_{1} is deep in extent in direction/property x_{2} away from reference point x_{3} by standard x_{4}.	- deep
cortu	x_{1} hurts/feels pain/hurt at locus x_{2}.	- pain
cpacu	x_{1} gets/procures/acquires/obtains/accepts x_{2} from source x_{3} [previous possessor not implied].	- get
cpana	x_{1} is upon/atop/resting on/lying on [the upper surface of] x_{2} in frame of reference/gravity x_{3}.	- upon
cpare	x_{1} climbs/clambers/creeps/crawls on surface x_{2} in direction x_{3} using x_{4} [limbs/tools].	- climb
cpedu	x_{1} requests/asks/petitions/solicits for x_{2} of/from x_{3} in manner/form x_{4}.	- ask; make a request<br>- request
cpina	x_{1} is pungent/piquant/peppery/spicy/irritating to sense x_{2}.	- pungent
cradi	x_{1} broadcasts/transmits [using radio waves] x_{2} via station/frequency x_{3} to [radio] receiver x_{4}.	- radio
crane	x_{1} is anterior/ahead/forward/(in/on) the front of x_{2} which faces/in-frame-of-reference x_{3}.	- front; anterior
creka	x_{1} is a shirt/blouse/top [upper-body garment - not necessarily sleeved or buttoned], material x_{2}.	- shirt
crepu	x_{1} (agent) harvests/reaps/gathers crop/product/objects x_{2} from source/area x_{3}.	- harvest
cribe	x_{1} is a bear/ursoid of species/breed x_{2}.	- bear
crida	x_{1} is a fairy/elf/gnome/brownie/pixie/goblin/kobold [mythical humanoid] of mythos/religion x_{2}.	- elf; mythical creature<br>- goblin; mythical creature<br>- fairy<br>- demon<br>- gnome; mythical creature
crino	x_{1} is green/verdant [color adjective].	- green
cripu	x_{1} is a bridge/span over/across x_{2} between x_{3} and x_{4} [unordered, typically destination first].	- bridge
crisa	x_{1} is summer/summertime [hot season] of year x_{2} at location x_{3}.	- summer
critu	x_{1} is autumn/fall [harvest/cooling season] of year x_{2} at location x_{3}.	- autumn
ctaru	x_{1} is a tide [cyclical/periodic expansion] in x_{2} caused by x_{3}.	- tide
ctebi	x_{1} is a/the lip [body-part]/rim of orifice x_{2} of body x_{3}; (adjective:) x_{1} is labial.	- lip
cteki	x_{1} is a tax/levy/duty on goods/services/event x_{2} levied against x_{3} by authority/collector x_{4}.	- tax
ctile	x_{1} is a quantity of petroleum/oil from source x_{2}.	- oil; petroleum<br>- petroleum
ctino	x_{1} is a shadow/the shade of object x_{2}, made by light/energy source x_{3}.	- shadow
ctuca	x_{1} teaches audience x_{2} ideas/methods/lore x_{3} (du'u) about subject(s) x_{4} by method x_{5} (event).	- teach
cukla	x_{1} is round/circular [2-dimensional shape/form]; x_{1} is a disk/circle/ring.	- round; 2-dimensional
cukta	x_{1} is a book containing work x_{2} by author x_{3} for audience x_{4} preserved in medium x_{5}.	- book
culno	x_{1} is full/completely filled with x_{2}.	- full
cumki	x_{1} (event/state/property) is possible under conditions x_{2}; x_{1} may/might occur; x_{1} is a maybe.	- possible
cumla	x_{1} is humble/modest about x_{2} (abstraction); x_{1} displays humility about x_{2}.	- humble
cunmi	x_{1} is a quantity of millet [grain] of species/strain x_{2}.	- millet
cunso	x_{1} is random/fortuitous/unpredictable under conditions x_{2}, with probability distribution x_{3}.	- random
cuntu	x_{1} is an affair/organized activity involving person(s) x_{2} (ind./mass); x_{1} is x_{2}'s business.	- affair
cupra	x_{1} produces x_{2} [product] by process x_{3}.	- produce
curmi	x_{1} (agent) lets/permits/allows x_{2} (event) under conditions x_{3}; x_{1} grants privilege x_{2}.	- let<br>- permit
curnu	x_{1} is a worm/invertebrate animal of species/breed x_{2}.	- worm
curve	x_{1} is pure/unadulterated/unmitigated/simple in property x_{2} (ka).	- pure
cusku	x_{1} (agent) expresses/says x_{2} (sedu'u/text/lu'e concept) for audience x_{3} via expressive medium x_{4}.	- mention<br>- express<br>- say
cutci	x_{1} is a shoe/boot/sandal for covering/protecting [feet/hooves] x_{2}, and of material x_{3}.	- shoe
cutne	x_{1} is a/the chest/thorax/upper trunk/[rib cage/breast] [body-part] of x_{2}.	- chest; anatomy
cuxna	x_{1} chooses/selects x_{2} [choice] from set/sequence of alternatives x_{3} (complete set).	- pick; decide between options<br>- choose
dacru	x_{1} is a drawer/file in structure x_{2}, a [sliding compartment] container for contents x_{3}.	- drawer
dacti	x_{1} is a material object enduring in space-time; x_{1} is a thing.	- object
dadjo	x_{1} pertains to the Taoist culture/ethos/religion in aspect x_{2}.	- Taoist
dakfu	x_{1} is a knife (tool) for cutting x_{2}, with blade of material x_{3}.	- knife
dakli	x_{1} is a sack/bag with contents x_{2}, and of material x_{3}.	- bag; sack<br>- sack
damba	x_{1} fights/combats/struggles with x_{2} over issue x_{3} (abstract); x_{1} is a fighter/combatant.	- fight<br>- struggle; fight
damri	x_{1} is a drum/cymbal/gong [percussion musical instrument] with beater/actuator x_{2}.	- drum
dandu	x_{1} hangs/dangles/is suspended from x_{2} by/at/with joint x_{3}.	- hang
danfu	x_{1} is the answer/response/solution/[reply] to question/problem x_{2}.	- answer
danlu	x_{1} is an animal/creature of species x_{2}; x_{1} is biologically animate.	- animal
danmo	x_{1} is made of/contains/is a quantity of smoke/smog/air pollution from source x_{2}.	- smoke
danre	x_{1} (force) puts pressure on/presses/applies force to x_{2}.	- press; apply pressure<br>- pressure
dansu	x_{1} (individual, mass) dances to accompaniment/music/rhythm x_{2}.	- dance
danti	x_{1} is a ballistic projectile [e.g. bullet/missile] for firing by [gun/propelling launcher] x_{2}.	- projectile
daplu	x_{1} is an island/atoll/key of [material/properties] x_{2} in surroundings/body x_{3}; x_{1} is insular.	- island
dapma	x_{1} curses/damns/condemns x_{2} to fate (event) x_{3}.	- curse; fate
dargu	x_{1} is a road/highway to x_{2} from x_{3} with route x_{4} (x_{2}/x_{3} may be unordered).	- road
darlu	x_{1} argues for stand x_{2} against stand x_{3}; [an opponent is not necessary].	- argue
darno	x_{1} is far/distant from x_{2} in property x_{3} (ka).	- far
darsi	x_{1} shows audacity/chutzpah in behavior x_{2} (event/activity); x_{1} dares to do/be x_{2} (event/ka).	- audacity
darxi	x_{1} hits/strikes/[beats] x_{2} with instrument [or body-part] x_{3} at locus x_{4}.	- hit<br>- strike; hit
daski	x_{1} is a pocket/pouch of/in garment/item x_{2}.	- pocket
dasni	x_{1} wears/is robed/garbed in x_{2} as a garment of type x_{3}.	- wear
daspo	x_{1} (event) destroys/ruins/wrecks/despoils x_{2}; x_{1} is destructive.	- destroy
dasri	x_{1} is a ribbon/tape/strip/band/stripe of material x_{2}.	- ribbon
datka	x_{1} is a duck/[drake] of species/breed x_{2}.	- duck
datni	x_{1} (du'u) [fact/measurement] is data/information/statistic(s) about x_{2} gathered by method x_{3}.	- data
decti	x_{1} is a tenth [1/10; 10^{-1}] of x_{2} in dimension/aspect x_{3} (default is units).	- .1
degji	x_{1} is a/the finger/digit/toe [body-part] on limb/body site x_{2} of body x_{3}; [metaphor: peninsula].	- finger
dejni	x_{1} owes x_{2} in debt/obligation to creditor x_{3} in return for x_{4} [service, loan]; x_{1} is a debtor.	- owe
dekpu	x_{1} is x_{2} (default 1) local volume unit(s) [non-metric; e.g. bushel], standard x_{3}, x_{4} subunits.	- gallon
dekto	x_{1} is ten [10; 10^1] of x_{2} in dimension/aspect x_{3} (default is units).	- 10
delno	x_{1} is x_{2} candela [metric unit] in luminosity (default is 1) by standard x_{3}.	- candela
